monitoring_month,applications,observed_default_rate,average_predicted_pd,roc_auc,auc_drop_vs_validation,brier,approval_rate,approval_rate_change,score_psi,bureau_score_psi,debt_to_income_psi,alert_status
2025-01,1021,0.1860920666013712,0.14972746403888776,0.7360567483691178,0.0,0.13638332030487735,0.4485798237022527,0.04735343987726098,0.01668802723286052,0.029951848358782555,0.004217885975080837,GREEN
2025-02,933,0.20257234726688103,0.15301390004872065,0.7659868009330374,0.0,0.14017633219700548,0.4437299035369775,0.04250351971198579,0.013506601286533575,0.007254244250677157,0.013223504414951662,GREEN
2025-03,1054,0.22580645161290322,0.16269591215306337,0.7451907233481629,0.0,0.1550947357945528,0.4240986717267552,0.02287228790176349,0.0025321145607373665,0.008325256636175334,0.009897671858833699,GREEN
2025-04,1035,0.16618357487922705,0.16081568470172497,0.7342625778113125,0.0,0.12104682083006987,0.4096618357487923,0.008435451923800574,0.007811727068073001,0.008483166386663037,0.004477289618465066,GREEN
2025-05,998,0.18637274549098196,0.162519673912636,0.7656854176598337,0.0,0.13070522892876565,0.42384769539078154,0.022621311565789837,0.0040016849049871964,0.004801651544335322,0.0052586951204100976,GREEN
2025-06,917,0.193020719738277,0.16429980447729559,0.7396243701328448,0.0,0.1329824828985978,0.4034896401308615,0.0022632563058698207,0.00878868493905688,0.0014685284344762176,0.004115908979394836,GREEN
2025-07,974,0.1806981519507187,0.1576491127605796,0.70320688083846,0.029608174559692668,0.13342565905327525,0.40349075975359344,0.002264375928601736,0.008674551648912779,0.009443150487890975,0.005152108023618555,GREEN
2025-08,1027,0.18403115871470302,0.15604793107113746,0.7727077571946307,0.0,0.13049331041245682,0.4294060370009737,0.028179653175981978,0.014696704054679132,0.012650433032624255,0.013738369091711894,GREEN
2025-09,994,0.17002012072434608,0.15605278049997295,0.734803657880581,0.0,0.12365003578627377,0.4124748490945674,0.01124846526957568,0.010449246027405285,0.012799237314961668,0.007490491755839413,GREEN
2025-10,1053,0.18613485280151948,0.1585198983114008,0.7273533684185458,0.005461686979606806,0.13258206616705603,0.41025641025641024,0.009030026431418536,0.009303672524481919,0.008968657682163877,0.009230038781885701,GREEN
2025-11,1008,0.19642857142857142,0.1607102713825557,0.7141351789499937,0.01867987644815894,0.14260991818300736,0.38591269841269843,0.015313685412293276,0.007735680237999425,0.006625700405196469,0.0034965675053508748,GREEN
2025-12,1051,0.18268315889628925,0.1603689172211985,0.7154940337601862,0.01732102163796645,0.13402791859821012,0.4043767840152236,0.0031504001902318834,0.007018676024082666,0.013596635005859574,0.003190233298140695,GREEN
