protected_attribute,demographic_parity_difference,equal_opportunity_difference,defaulting_approval_rate_difference,auc_range,minimum_group_size,diagnostic_status,interpretation
gender,0.016150639085617757,0.01703702313241856,0.0019219561793991091,0.015745540473379505,5991,NO_MATERIAL_SIGNAL_AT_10PP_TRIAGE_LEVEL,"The 10 percentage-point level is an internal triage signal, not a legal fairness standard. Legal review, causal analysis and stakeholder governance remain mandatory."
age_band,0.36701090285434274,0.37500471609130354,0.2283157176951926,0.024722058125881907,900,GOVERNANCE_REVIEW_REQUIRED,"The 10 percentage-point level is an internal triage signal, not a legal fairness standard. Legal review, causal analysis and stakeholder governance remain mandatory."
